                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1774,                 1.3483,                 1.3118,                0.76197,                0.59829,                0.67999,                0.47151,                 1.2234,                 1.1472,                  1.338,              0.0086932,              0.0086932,              0.0086932
                     36,                 1.1684,                 1.3401,                 1.3107,                0.72736,                0.60398,                0.67862,                0.46345,                 1.2294,                 1.1578,                 1.3506,              0.0086536,              0.0086536,              0.0086536
                     37,                 1.1655,                 1.3196,                 1.3023,                0.75606,                 0.5781,                0.66752,                0.46996,                 1.1995,                 1.1389,                 1.3213,               0.008614,               0.008614,               0.008614
                     38,                 1.1381,                 1.2997,                 1.2865,                0.74337,                 0.6097,                0.68059,                0.46967,                 1.2239,                 1.1203,                 1.3355,              0.0085744,              0.0085744,              0.0085744
                     39,                 1.1547,                 1.2965,                 1.2959,                0.73784,                0.59454,                0.66567,                0.46894,                 1.1989,                 1.1393,                 1.3292,              0.0085348,              0.0085348,              0.0085348
                     40,                  1.143,                 1.2829,                 1.2874,                0.75911,                0.59728,                0.68122,                0.47166,                 1.2049,                 1.1082,                 1.3398,              0.0084952,              0.0084952,              0.0084952
                     41,                 1.1489,                 1.2866,                 1.2947,                0.76955,                0.60767,                0.69078,                 0.4746,                 1.2001,                 1.0943,                 1.3216,              0.0084556,              0.0084556,              0.0084556
                     42,                 1.1488,                 1.2889,                 1.2903,                 0.7743,                0.60127,                0.69667,                0.48405,                 1.2042,                 1.0746,                 1.3333,               0.008416,               0.008416,               0.008416
                     43,                 1.1392,                 1.2905,                 1.2853,                0.78236,                0.59363,                0.68433,                0.48035,                 1.2082,                 1.0984,                 1.3337,              0.0083764,              0.0083764,              0.0083764
                     44,                  1.134,                 1.2647,                 1.2825,                0.78182,                0.61147,                0.70653,                0.48713,                    1.2,                 1.0725,                 1.3218,              0.0083368,              0.0083368,              0.0083368
                     45,                 1.1302,                 1.2378,                 1.2769,                 0.7474,                0.62457,                0.69478,                0.48909,                 1.1923,                 1.0628,                 1.3168,              0.0082972,              0.0082972,              0.0082972
